"%s Subscription for %s";"%s Подписка на %s"
"to view this app if you are connected to your backoffice.";"для просмотра это приложение, если вы подключены к личному кабинету."
"Size app settings";"Настройки размера приложения"
"Free app size";"Бесплатный размер приложения"
"Free app size (MB) - Max - ";"Бесплатный размер приложения (MB) - Макс - "
"Max size per app";"Максимальный размер на приложение"
"Max size per app (MB) - Max - ";"Максимальный размер на приложение (MB) - Макс - "
"Price per MB";"Цена за MB"
"Size settings successfully saved";"Настройки размера успешно сохранены"
"Payment info";"Платёжная информация"
"Tariff selection";"Выбор тарифа"
