"--- Please Select ---";"--- Выберите ---"
"Price (High &gt; Low)";"Цена (высокая &; низкая)"
"Price (High < Low)";"Цена (Высокая < Низкая)"
"Price (High > Low)";"Цена (Высокая > Низкая)"
"Price (Low > High)";"Цена (Низкая > Высокая)"
"Price Subtotal";"Цена Итого"
"Price:";"Цена:"
"Privacy";"Конфиденциальности"
"Processed";"Обработанные"
"Processed With PayPal";"Обрабатываются С помощью PayPal"
"Processing";"Обработка"
"Product added to wishlist successfully";"Продукт успешно добавлен"
"Products:";"Продукты:"
"Promotions";"Акции"
"Quantity:";"Количество:"
"Radio";"Радио"
"Rate this app!";"Оценить это приложение!"
"Rating (Highest)";"Рейтинг (По Убыванию)"
"Rating (Lowest)";"Рейтинг (Начиная С Низкого)"
"Reference:";"Ссылка:"
"Refine Search";"Расширенный поиск"
"Region / State";"Регион / Штат"
"Register Account";"Регистрировать аккаунт"
"Remove Cart Item";"Удаление корзины"
"Reset Passsword";"Сброс пароля"
"SEARCH";"Поиск"
"Search here";"Поиск"
"Select";"Выберите"
"Select the delivery method of your choice for this order.";"Выберите способ доставки на Ваш выбор для этого заказа."
"Share";"Поделиться"
"Shipment Updates";"Обновления отгрузки"
"Shipped";"Отправлен"
"Shipping";"Доставка"
"Shipping Method:";"Способ Доставки:"
"Shopping Cart";"Корзина"
"Sorry!! Unable to add product in shopping cart.";"Извините!! Не удалось добавить товар в корзину."
"Sorry!! Unable to add your comment.Please select stars";"Сожалею!! Невозможно добавить свой комментарий. Выберите звезды"
"Standard Shipping";"Стандартная доставка"
"Status:";"Статус:"
"Success";"Успешно"
"Telephone";"Телефон"
"Telephone is required.";"Введите телефон."
"Terms";"Условия"
"Text";"Текст"
"Textarea";"Textarea"
"Thanks for shopping with us online!";"Спасибо за покупки!"
"The E-Mail Address was not found in our records, please try again!";"Адрес электронной почты не был найден в наших записях, пожалуйста, попробуйте снова!"
"The same is issued by the cash machine and proves payment. Keep it.";"То же выдается банкоматом и подтверждает платеж. Сохранить ее."
"There are no products for this category.";"Нет товаров в этой категории."
"This product already added into wishlist.";"Этот товар уже добавлен в список пожеланий."
"Three Star";"Три Звезды"
"Time";"Время"
"Total";"Общая"
"Total Cart Items";"Всего товаров"
"Total:";"Общее:"
"Two Star";"Две Звезды"
"Unable to add wishlist";"Не удалось добавить список желаний"
"Unable to remove item from wish list, Please try after sometime";"Можете удалить элемент из списка желаний, пожалуйста, попробуйте через некоторое время"
"Unable to take paymen using PayPal";"Можете взять компенсацию через PayPal"
"Upload File";"Загрузить Файл"
"Use Coupon Code";"Используйте Код Купона"
"Username";"Имя пользователя"
"Username or password not matched";"Имя пользователя или пароль не совпали"
"VIEW";"Вид"
"Value:";"Значение:"
"View";"Вид"
"View Orders";"Просмотр Заказов"
"View Products";"Товары"
"Warning";"Предупреждение"
"Wish List";"Список Желаний"
"Wish list";"Закладки"
"You can view your order history by going to the my account page and by clicking on";"Вы можете просмотреть историю Ваших заказов, перейдя на страницу моя учетная запись и нажав на"
"You have not add any item";"Вы не добавили товар"
"You have not added any item to wish list";"Вы еще не добавили товар в список желаний"
"Your Address Details";"Ваш Адрес"
"Your E-Mail Address";"Ваш E-Mail"
"Your Name";"Ваше имя"
"Your Order Has Been Processed!";"Ваш заказ был обработан!"
"Your Password";"Ваш пароль"
"Your Personal Details";"Ваши личные данные"
"Your comment have successfully sumbit.";"Ваш комментарий успешно отправлен."
"Your coupon discount has been applied!";"Ваш купон на скидку!"
"Your file was not uploaded!";"Ваш файл не был загружен!"
"Your file was successfully uploaded!";"Ваш файл был успешно загружен!"
"Your first name is required.";"Ваше имя является обязательным."
"Your last name is required.";"Ваша фамилия не обязательно."
"Your name is required.";"Ваше имя обязательно."
"Your order has been successfully processed!";"Ваш заказ успешно обработан!"
"city is required.";"город - обязательно."
"status:";"Статус:"
"sub total";"Итого"
"text";"Текст"
