" of the ";" bu "
"An administrator of the Platform <b>%s</b>, activated your subscription for the Application <b>%s</b>";"Platform <b>%s</b>, bir yönetici Uygulama <b>%s</b>aboneliğinizi aktif "
"An administrator of the Platform <b>%s</b>, cancelled your subscription for the Application <b>%s</b>";"Platform <b>%s</b>, bir yönetici Uygulama <b>%s</b>aboneliğinizi iptal edildi "
"An administrator of the Platform <b>%s</b>, deactivated your subscription for the Application <b>%s</b>";"Platform <b>%s</b>, bir yönetici Uygulama <b>%s</b>aboneliğinizi aktif "
"An error occured while adding the block.";"Blok eklerken bir hata oluştu."
"An error occurred when generating the apk";"Bu muayene oluşturulurken bir hata oluştu "
"An error occurred while hidding the Android Status Bar.";"Android Durum Çubuğu hidding sırasında bir hata oluştu."
"An error occurred while hidding the iOS Status Bar.";"İOS Durum Çubuğu hidding sırasında bir hata oluştu."
"An error occurred while importing line %s : impossible to save the object. Please check your file format.";"Satır %alma nesneyi kaydetmek için imkansız : sırasında bir hata oluştu. Lütfen dosya biçimini kontrol edin."
"An error occurred while loading. Please, try again later.";"Yüklenirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving the password. Please try again later.";"Parola kaydedilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving your APK. Please try again later.";"MUAYENE kaydetme sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving your Keystore. Please try again later.";"Anahtar kaydetme sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving your page subtitle.";"Sayfanın alt yazı kaydedilirken bir hata oluştu."
"An error occurred while saving your picture. Please try againg later.";"Resim kaydedilirken bir hata oluştu. Againg lütfen daha sonra tekrar deneyin."
"An error occurred while upload the APK. Please try again later.";"APK yükleme sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while validating point<br />Please try again later.";"Doğrulama noktası<br />Lütfen daha sonra tekrar deneyin bir hata oluştu."
"An error occurred, backButton is required!";"Bir hata oluştu, backButton gereklidir."
"An error occurred, please try again.";"Bir hata oluştu, lütfen tekrar deneyin."
"An error occurred. Please try again later.";"Bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An unknown error occured.";"Bilinmeyen bir hata oluştu."
"An unknown error occurred while listing applications.";"Uygulamalar listelenirken bilinmeyen bir hata oluştu."
"An unknown error occurred, please try again later.";"Bilinmeyen bir hata oluştu, lütfen daha sonra tekrar deneyin."
"An user of the Platform <b>%s</b>, cancelled the subscription of the Application <b>%s</b>";"Platform <b>%s</b> bir kullanıcı, Uygulama <b>%s</b>aboneliği iptal "
"Android SDK is marked for update.";"Android SDK Güncellemesi için işaretlendi."
"Anniversary";"Yıldönümü"
"App ID:";"Uygulama KİMLİĞİ:"
"App Id is required!";"Uygulama Kimliği gereklidir."
"App name:";"Uygulama adı:"
"Application id %s not found.";"Uygulama kimliği %s bulundu."
"Application identifier:";"Uygulama tanımlayıcısı:"
"Application not found!";"Uygulama bulunamadı!"
"Application template successfully imported.";"Uygulama başarıyla alınan şablonu."
"Applications tied to this subscription";"Uygulamalar bu abonelik için bağlı "
"Apps Qty";"Uygulamalar Miktar"
"Authentication failed.";"Kimlik doğrulaması başarısız oldu."
"Automatic Cancellation";"Otomatik İptal"
"Back button choice saved!";"Geri düğmesi seçim kurtardı!"
"Background Color";"Arka plan rengi"
"Banner %s price";"Banner %fiyat s "
"Banner %s store label";"Banner %mağaza etiket s "
"Be aware that if the code you enter here requires any kind of server interaction it will not work properly in offline mode.";"Eğer buraya girdiğiniz kod sunucu herhangi bir etkileşimi gerektirir düzgün çevrimdışı modunda çalışmaz unutmayın."
"Before publishing your Application you must upload a homepage background.";"Uygulamanızı yayınlamadan önce ana arka plan yüklemeniz gerekir."
"Before publishing your Application you must upload a splashscreen.";"Uygulamanızı yayınlamadan önce bir karşılama resmi yüklemeniz gerekir."
"Below you'll find important informations required in some services!";"Aşağıda bazı hizmetler için gerekli önemli bilgileri bulabilirsiniz!"
"Bin SQLite3:";"Bin SQLite3:"
"Black";"Siyah"
"Booking details:";"Rezervasyon detayları:"
"Border Color";"Kenarlık rengi"
"Build Mobile Social Gaming";"Mobil Sosyal Oyun Oluşturma "
"Build failed";"Oluşturma başarısız oldu "
"Build succeed";"Derleme başarılı"
"CORE TEMPLATE";"ÇEKİRDEK ŞABLONU"
"Cache cleared.";"Önbellek temizlendi."
"Cancel current Subscription";"Geçerli Abonelik iptal "
"Cancel subscription";"Aboneliği iptal "
"Cancellation of your Subscription!";"Aboneliğinizi iptal!"
"Cancelling a child subscription will only affect the concerned application.";"Çocuk aboneliği iptal sadece ilgili uygulamayı etkileyecektir."
"Cancelling a paid subscription will mark it as cancelled, and the subscription will automatically expire on it's expiration date.";"Ücretli bir aboneliği iptal iptal edildi olarak işaretle ve abonelik otomatik olarak bu son kullanma tarihi sona erecektir."
"Cancelling a parent subscription will also cancel it's childs.";"Üst aboneliği iptal da childs iptal edecektir."
"Cannot find application from token.";"Token uygulama bulunamıyor."
"Cannot send APK build to service %s.";"Olamaz MUAYENE s %hizmet için inşa gönderin."
"Cannot send build to service %s.";"S %hizmet için inşa gönderemezsiniz."
"Catalog not found!";"Katalog bulunamadı!"
"Category has been deleted.";"Kategori silindi."
"Category not found!";"Kategori bulunamadı!"
"Category successfully deleted.";"Kategori başarıyla silindi."
"Certificate renewal is disabled until %s due to rate limit hit.";"Sertifika yenileme %sınırı isabet oranı nedeniyle s kadar devre dışı bırakılır."
"Change your homepage";"Anasayfa "
"Change your startup image";"Başlangıç resmi değiştirme "
"Check out our support pages:";"Destek sayfalarına göz atın:"
"Chef de projet";"Chef de proje"
"Child";"Çocuk"
"Choose a";"Seçin"
"City:";"Şehir:"
"ClamAV:";"Deniztarağı:"
"Code Used";"Kod kullanılır"
"Coiffeurs";"Coiffeurs"
"Company successfully deleted.";"Şirket başarıyla silindi."
"Create a new plan";"Yeni bir plan oluşturmak "
"Created at:";"Oluşturuldu:"
"Credentials successfully saved!";"Kimlik bilgileri başarıyla kaydedildi!"
"Date and time:";"Tarih ve saat:"
"Deactivation";"Deaktivasyon"
"Deactivation of your Subscription!";"Aboneliğiniz devre dışı bırakma!"
"Define how many applications can be activated with this Subscription";"Tanımlama kaç uygulama bu Abonelik ile aktif hale getirilebilir "
"Delete my account.";"Hesabımı silin."
"Delivery fees:";"Teslimat ücreti:"
"Delivery methods:";"Teslimat yöntemleri:"
"Delivery radius:";"Teslim alan:"
"Delivery time:";"Teslim süresi:"
"Description:";"Açıklama:"
"Disable this Subscription!";"Bu Abonelik devre dışı bırakın!"
"Disabling cache can have significant performance impacts.";"Önbelleği devre dışı bırakılması önemli performans etkileri olabilir."
"Distributeur logiciel";"Distributeur yazılım devi"
"Do not edit the following settings if your APK Generator is working!";"Eğer MUAYENE Jeneratör çalışıyorsa aşağıdaki ayarları düzenleyin."
"Download QRCode for employee";"Aztek indir çalışanın "
"Download images archive";"İndir resimleri arşivi"
"Download template as";"İndirmek şablonu "
"Download the APK !";"APK indir !"
"Download the source archive !";"Kaynak arşiv indirin !"
"Downloading your package.";"Paket indirme."
"Edit the account \"%s\"";"\"%S\"hesabı Düzenle "
"Edit the plan";"Planı düzenlemek "
"Employee's name";"Çalışanın adı"
"Employee's password";"Çalışanın şifre"
"Enable this Subscription!";"Bu Abonelik etkinleştirin!"
"Error: unable to write Environment in config.php";"Hata: Çevre yazamıyor config.php içinde "
"Essayez gratuitement !";"Denemek bedava !"
"Expired on";"Süresi dolmuş hakkında"
"Extension not allowed, \'%s\' only";"Uzatma İzin Verilmiyor, \'%\' s"
"Feature is now %s";"Özelliği %s"
"Feature not found.";"Bulunan özellik değil."
"Feature successfully added inside folder!";"Özelliği başarıyla klasörü içinde eklendi!"
"Feature successfuly imported.";"Başarılı bir şekilde alınan özellik."
"Firebase is not well configured.";"Firebase iyi yapılandırılmamış."
"Firewall Slack settings have been saved.";"Güvenlik duvarı Gevşek ayarlar kaydedildi."
"Firstname:";"Ad:"
"Fixed";"Sabit"
"Folder not found!";"Klasörü bulunamadı!"
"Free";"Ücretsiz"
"Free delivery starting from:";"Başlatılmasını ücretsiz teslimat:"
"Free plan";"Ücretsiz planı"
"Free plans have no expiration date.";"Ücretsiz planları hiçbir son kullanma tarihi vardır."
"Free trial period duration must be a numeric value.";"Ücretsiz deneme süresi süresi sayısal bir değer olmalıdır."
"Galerie photos";"Galerie fotoğrafları"
"Gallery has been deleted!";"Galeri silindi!"
"Google Service file successfully saved!";"Google Hizmet dosya başarılı bir şekilde kaydedildi."
"Hide overlay";"Gizleme "
"IP:Port";"IP:Port"
"If your credit card, or subscription expired, you can purchase a new one.";"Eğer kredi kartı veya abonelik süresi doldu, yeni bir tane satın alabilirsiniz."
"Immobilier";"Immobilier"
"Import success.";"Alma başarılı."
"Installed templates";"Yüklü şablonlar"
"Interface en Marque Blanche";"Arayüzü en Marque Blanche"
"Invalid QRCode parameters.";"Geçersiz parametreler Oluşturmak."
"Invalid twitter handle/url!";"Geçersiz twitter/url işlemek!"
"Invoice";"Fatura"
"Invoice %s";"Fatura %s"
"Is Active?";"Aktif Mi?"
"JpegOptim:";"JpegOptim:"
"Label:";"Etiket:"
"Lastname:";"Soyadı:"
"Let your users know what is locked.";"Kilitli kullanıcılara bildirin."
"Linked to Subscription";"Abonelik bağlantılı "
"List of your taxes";"Vergi listesi "
"Listing produits";"Listeleme bakım ürünleri"
"Listing produits / tarifs";"Listeleme bakım ürünleri / Crystal. ASP"
"Loading your white label editor.";"Beyaz etiket editörü yükleniyor."
"MM/dd/y";"MM/dd/y"
"Main domain is required!";"Ana etki alanı gereklidir."
"Main domain is required, you can set it in <b>Settings > General</b>";"Ana etki alanı gereklidir, <b>Ayarlar > Genel</b>ayarlayabilirsiniz "
"Major update disclaimer, confirmation required!";"Gerekli büyük güncelleme tekzip, onay!"
"Manifest rebuilt with succes.";"Apaçık bir başarı ile yeniden inşa edildi."
"Message is required.";"Mesaj gereklidir."
"Message:";"Mesaj:"
"Migration done!";"Geçiş yapmış!"
"Minimum order:";"Minimum sipariş:"
"Missing categories.";"Eksik kategoriler."
"Missing data.";"Eksik veri."
"Missing design_id.";"Eksik design_id."
"Missing form data!";"Eksik form verileri!"
"Missing parameter value_id.";"Eksik parametre value_id."
"Missing parameters!";"Eksik parametre!"
"Missing parameters, value_id or message.";"Eksik parametreleri, value_id veya mesaj."
"Missing params!";"Kayıp parametreler."
"Missing request.";"Eksik istek."
"Missing token and/or status.";"Token ve/veya durum eksik."
"Missing value_id!";"Eksik value_id!"
"Mode";"Mod"
"Mur de news";"Bahía de haber"
"Mur de news mobile";"Bahía de haber mobil"
"My Subscriptions";"Benim Abonelikleri "
"My subscriptions";"Benim abonelikleri "
"N.A.";"N. A."
"Name is required to save the Application.";"Adı Uygulama kaydetmek için gereklidir."
"National";"Ulusal"
"New sale";"Yeni satış"
"New subscription on your Platform %s!";"Platform %yeni abonelik!"
"New user Account";"Yeni kullanıcı Hesabı"
"Next payment date";"Bir sonraki ödeme tarihi"
"No build.";"Hayır oluşturun."
"No credentials found!";"Kimlik bilgileri bulundu."
"No customers available.";"Hayır müşteriler mevcut."
"No data sent.";"Veri gönderdi."
"No file found.";"Hiçbir dosya bulunamadı."
"No templates";"Hayır şablonları"
"No, go back!";"Hayır, geri dön!"
"Nobody is online.";"Kimse çevrimiçi."
"Nos plateformes";"Nos plateformes"
"Not a Yahoo weather request, aborting.";"Yahoo hava isteği iptal ediliyor."
"Notifications Push";"Bildirimleri İtin"
"Notifications Push en marque blanche";"Bildirimleri en marque blanche İtin "
"Nous supportons toutes les plateformes";"Nous supportons diğer les plateformes"
"Number of Applications";"Uygulama sayısı "
"Offline";"Çevrimdışı"
"Only cancelled";"Sadece iptal"
"OptiPNG:";"OptiPNG:"
"Option name:";"Seçenek adı:"
"Or purchase a new subscription";"Veya yeni bir abonelik satın alma "
"Order successfully saved saved.";"Sipariş başarıyla kaydedildi kurtardı."
"Order: ";"Sipariş: "
"Overlay color";"Kaplama rengi"
"Owner";"Sahibi"
"Owner Cancellation";"Sahibi İptal"
"PEM Request generally takes 1 minute to complete.";"PEM İsteği genellikle tamamlamak için 1 dakika sürer."
"PHP SQLite3:";"PHP SQLite3:"
"PNGQuant:";"PNGQuant:"
"PROTECTED";"KORUMALI"
"Partially saved.";"Kısmen kurtardı."
"Password:";"Şifre:"
"PayPal is not configured in your Backoffice, recurrencies will not work correctly.";"PayPal idari büro içinde yapılandırılmamış, recurrencies düzgün çalışmaz."
"PayPal subscription is %s.";"PayPal abonelik %s."
"Payment Information:";"Ödeme Bilgileri:"
"Payments are verified through their respective APIs.";"Ödemeler ilgili API aracılığıyla doğrulanır."
"Percentage";"Yüzde"
"Please correct the following errors <br>";"Lütfen aşağıdaki hataları <br>doğru "
"Please enter a correct version for the %s app";"Lütfen %için doğru bir sürümünü girin app s "
"Please enter a valid date.";"Geçerli bir tarih girin."
"Please fill iTunes Connect Credentials.";"Lütfen doldurun iTunes Kimlik bilgilerini Bağlayın."
"Please verify the ";"Lütfen doğrulayın "
"Please, enter a password.";"Lütfen bir parola girin."
"Plesk from 12.0 to 17.0";"12.0 gelen 12.8 Plesk "
"Plus d'infos";"Artı d'infos"
"Postal code or city:";"Posta kodu ya da şehir:"
"Previous and/or Expired subscriptions";"Önceki ve/veya Süresi dolan abonelikleri"
"Previous version";"Önceki sürüm"
"Price:";"Fiyatı:"
"Product has been deleted.";"Ürün silindi."
"Product name:";"Ürün Adı:"
"Product not found!";"Ürün bulunamadı!"
"Promo not found";"Promo bulunamadı "
"Promo successfully deleted";"Promo başarıyla silindi"
"Promotion successfully deleted.";"Promosyon başarıyla silindi."
"Provider";"Sağlayıcı"
"Purchase a new subscription!";"Yeni bir abonelik satın almak!"
"Query successfully deleted.";"Sorgu başarıyla silindi."
"Question";"Soru"
"RSS application mobile";"RSS uygulaması mobil"
"RSS/Atom";"RSS/Atom"
"Rate";"Oranı"
"Reason:";"Sebep:"
"Recipient email:";"Alıcının e-posta:"
"Recurrent fee";"Tekrarlayan ücreti"
"Region";"Bölge"
"Regular fee";"Normal ücret"
"Removing CRON Scheduler generator lock files.";"CRON Zamanlayıcı jeneratör kilidi dosyaları kaldırma."
"Removing CRON Scheduler source lock files.";"CRON Zamanlayıcı kaynak lock dosyaları kaldırma."
"Removing domain %s, domain in dot notation is not supported.";"Etki alanı %s kaldırılıyor, etki nokta gösterimde desteklenmiyor."
"Render Test";"Render Test"
"Request a new PEM certificate.";"Yeni PEM sertifika isteme."
"Reset to default Privacy Policy GDPR.";"Gizlilik Politikası GDPR varsayılan Sıfırla."
"Resize your picture:";"Resim yeniden boyutlandırma:"
"Safe in landscape";"Manzara güvenli "
"Safe in portrait";"Portre güvenli "
"Safe zone overlay";"Güvenli bölge yerleşimi"
"Scan this QR Code:";"Bu tarama QR Kodu:"
"Scratchcard";"Kazı-Kazan"
"Secret Key:";"Gizli Anahtar:"
"Seems the appId is empty or invalid, aborting!";"Görünüyor kimliği boş ya da geçersiz, iptal ediliyor!"
"Seems we could delete unwanted files, aborting!";"İstenmeyen dosyaları silmek, iptal edebiliriz gibi görünüyor."
"Select a connection type:";"Bir bağlantı türü seçin:"
"Select one of the available subscriptions with remaining slots";"Kalan yuvaları ile mevcut abonelikleri birini seçin "
"Send your favicon";"Favicon gönder "
"Send your logo";"Logo gönder "
"Service status / load";"Hizmet durumu / yük"
"Setting successfully saved.";"Ayar başarılı bir şekilde kaydedildi."
"Show applications removed from the editor.";"Editör kaldırıldı uygulamaları göster."
"Show child subscriptions";"Çocuk abonelikleri göster "
"Signature:";"İmza:"
"Snacking / Restaurants";"Atıştırma / Restoranlar"
"Snacking<br />Restaurants";"Atıştırma<br />Restoran"
"Social Gaming";"Sosyal Oyun"
"Something went wrong while restoring files, process aborted!";"Geri yükleme dosyaları, iptal işlemi sırasında bir şeyler ters gitti!"
"Sorry but an error occurred while duplicating your application.";"Uygulamanız çoğaltarak ise özür dilerim ama bir hata oluştu."
"Source type:";"Kaynak türü:"
"Sources Generation";"Kaynakları Üretimi"
"Sources are successfully restored.";"Kaynakları başarıyla yüklenir."
"Subscription date";"Abonelik tarihi"
"Subscription updated.";"Abonelik güncellendi."
"Subscription: ";"Abonelik: "
"Successfully saved default project.";"Varsayılan proje başarıyla kurtardı."
"Tax name:";"Vergi adı:"
"Tax rate:";"Vergi oranı:"
"Tax:";"Vergi:"
"Teams successfully refreshed!";"Takım başarılı bir şekilde yenilendi."
"Telephone";"Telefon"
"Temp cleared.";"Temp temizledi."
"Test App";"Test Uygulaması"
"Text Color";"Metin rengi"
"Thanks for working with us!";"Bizimle çalışma için teşekkürler!"
"Thanks for your report.";"Raporunuz için teşekkürler."
"Thanks for your subscription.";"Abonelik için teşekkürler."
"The APK for the application %s has been generated !";"Bu MUAYENE uygulama %için oluşturuldu."
"The APK generation failed !";"MUAYENE nesil başarısız oldu !"
"The APK generation is done !";"MUAYENE nesil bitti !"
"The APK has been generated!";"Bu MUAYENE oluşturuldu."
"The CNAME for the URL \"%s\" is not properly set";"%S \"URL\" için CNAME düzgün ayarlanmamış "
"The CNAME for the domain \"%s\" is not properly set";"%S etki alanı \"için CNAME düzgün ayarlanmamış "
"The Source code for the application %s has been generated !";"Kaynak kod uygulama %için oluşturuldu."
"The Source code generation failed !";"Kaynak kod oluşturma işlemi başarısız oldu !"
"The categories for line %s couldn't be created : no parent category found.";"Satır %s kategoriler oluşturulamadı : üst kategori bulundu."
"The categories for line %s couldn't be created : no root category found.";"Satır %s kategoriler oluşturulamadı : root kategori bulundu."
"The categories for line %s couldn't be read.";"Satır %s için kategoriler okuma olamazdı."
"The data has been saved successfully";"Veri başarıyla kaydedildi "
"The entered package name is incorrect, it should be like: com.nwicodecms.app";"Girilen paket adı yanlıştır, com gibi olmalı.nwicodecms.app"
"The feature you are trying to edit doesn't exists!";"Düzenlemeye çalıştığınız özellik yok!"
"The formats for line %s couldn't be read.";"Satır %s biçimleri okuma olamazdı."
"The given template does not exists.";"Belirli bir şablon yok."
"The local APK generator requires %s";"Yerel kuru temizleme jeneratör %gerekir s"
"The options for line %s couldn't be read.";"Satır %s için seçenekler okuma olamazdı."
"The options for line %s couldn't be saved.";"Satır %s için seçenekler kaydedilmiş olamaz."
"The overlay helps you check if important content and/or text on your homepage image is inside the safe boundaries.";"Kaplamayı eğer ana görüntü üzerinde önemli içerik ve/veya metin güvenli sınırlar içinde olup olmadığını kontrol eder."
"The requested APK generation failed: %s";"İstenen MUAYENE nesil başarısız oldu: %s"
"The requested APK/Source generation failed !";"İstenen MUAYENE/Kaynak oluşturma işlemi başarısız oldu !"
"The search request is empty.";"Arama isteği boş."
"The selected subscription is not valid.";"Seçilen abonelik geçerli değil."
"The source generation is done !";"Kaynak üretimi yapılır ."
"The subscription is cancelled!";"Aboneliği iptal edilir."
"The subscription is now active.";"Abonelik şimdi etkin."
"The subscription is now inactive.";"Abonelik şimdi etkin değil."
"The user doesn't exist.";"Kullanıcı yok."
"There is not corresponding release to restore from, process aborted!";"Açıklaması, iptal işlemi geri yüklemek için, ilgili değildir."
"This Application doesn't exists, aborting!";"Bu Uygulama öyle bir şey yok, iptal ediliyor!"
"This Application has some invoices associated, you can not delete it!";"Bu Uygulama ile ilgili bazı faturalar var, silemezsiniz!"
"This action is used to migrate all current active session into a Redis server instance, use this only with care if you want to migrate from MySQL session to Redis session storage.";"Bu eylem, Redis sunucu örneği tüm geçerli etkin oturum geçirmek için, sadece dikkatli kullanın oturum MySQL oturum depolama Redis geçirmek istiyorsanız kullanılır."
"This admin can download application sources code.";"Bu yönetim uygulama kaynaklar kodu indirebilirsiniz."
"This application does not belong to you.";"Bu uygulama sana ait değil."
"This block type doesn't exists.";"Türü değil bu bloğu var."
"This feature is not ready yet. Please try again later.";"Bu özellik henüz hazır değil. Lütfen daha sonra tekrar deneyin."
"This field is required.";"Bu alan gereklidir."
"This icon is not allowed!";"Bu simge yasak!"
"This is a child subscription, it is tied to a parent with 2 or more application slots.";"Bu çocuk bir abonelik, bir ebeveyn için 2 veya daha fazla uygulama yuvaları ile bağlıdır."
"This is a demo version, these changes can't be saved.";"Bu bir demo versiyonu, bu değişiklikler kaydedilemedi."
"This is a demo version, you are not allowed to change the default role.";"Bu bir demo sürümü, varsayılan rolünü değiştirmek için izin verilmez."
"This is a demo version, you can't download any source codes / APKs";"Bu bir demo sürümü, herhangi bir kaynak kodları indirebilirsiniz / APKs"
"This is a demo version, you cannot deactive an user.";"Bu bir demo sürümü, bir kullanıcı deactive olamaz."
"This is a demo version, you cannot save these settings.";"Bu bir demo versiyonu, bu ayarlar kaydedilemiyor."
"This is probably %s";"Bu muhtemelen %s"
"This method is deprecated, please update!";"Bu yöntem kaldırılmış, güncelleme lütfen!"
"This subscription does not exists!";"Bu abonelik mevcut değil."
"This subscription doesn't exists!";"Bu abonelik yok!"
"This subscription is cancelled, and will expire by <b>%s</b>.";"Bu aboneliği iptal edilir ve <b>%s</b>ile sona erecek."
"This template installer is not supported anymore, please refer to the documentation to update your installer.";"Bu şablon yükleyici artık, belgelere yükleyici güncelleme için başvurun desteklenmiyor."
"This user does not exist.";"Bu kullanıcı yok."
"Tip: %s";"İpucu: %s"
"Title:";"Başlık:"
"Touch To Call";"Aramak İçin Dokunun "
"Translation in progress ... ";"İlerleme çeviri ... "
"UPGRADE NOW!";"ŞİMDİ YÜKSELT!"
"Unable to cancel 2Checkout subscription, tray again later.";"Daha sonra tekrar 2Checkout abonelik, tepsi iptal edilemiyor."
"Unable to cancel PayPal subscription, tray again later.";"Daha sonra tekrar PayPal abonelik, tepsi iptal edilemiyor."
"Unable to fetch your application background images.";"Uygulama arka plan görüntüleri getirilemedi."
"Unable to find either folder or feature!";"Bir klasör veya özellik bulunamadı!"
"Unable to find option.";"Seçenek bulamadı."
"Unable to find the corresponding build.";"Yapı karşılık bulamadı."
"Unable to find the order id!";"Sipariş kimliği bulunamadı!"
"Unable to load CMS Blocks without value_id.";"Value_id CMS Blokları yüklenemiyor."
"Unable to parse certificate.";"Sertifika ayrıştırılamıyor."
"Unable to retrieve 2Checkout subscription, tray again later.";"Daha sonra tekrar 2Checkout abonelik, tepsi alınamıyor."
"Unable to update a user from here.";"Buradan bir kullanıcı güncelleme yapılamıyor."
"Unauthorized access to feature.";"Özellik yetkisiz erişim."
"Unified homepage";"Birleşik Anasayfa"
"Unified splashscreen";"Birleşik karşılama resmi"
"Unknown action for this module.";"Bu modül için bilinmeyen eylem."
"Unkown error!";"Bilinmeyen hata!"
"Until %s";"%Kadar s"
"Upgrade required";"Gerekli yükseltme "
"Upload your %s file below.";"Aşağıda dosya %s yükleyin."
"User ID:";"Kullanıcı KİMLİĞİ:"
"User cancelled his Subscription!";"Kullanıcı aboneliğini iptal edildi!"
"User email:";"Kullanıcının e-posta:"
"User name";"Kullanıcı adı"
"User: ";"Kullanıcı: "
"Username:";"Kullanıcı adı:"
"View the Application";"Uygulama görünümü "
"We are sorry but our Wordpress plugin hasn\'t been detected on your website. Please be sure it is correctly installed and activated.";"Üzgünüz ama bizim Wordpress eklentisi web sitenizde tespit edildi\'t değil. Lütfen emin olun düzgün yüklenmiş ve etkinleştirilmiş."
"We are sorry but this nickname is already used.";"Üzgünüz ama bu takma ad zaten kullanılıyor."
"We can't delete the only application from your installation.";"Yükleme sadece uygulamayı silebiliriz."
"We were unable to determine your %s version.";"%S sürümünü belirlemek için koyamadık."
"We were unable to find your last payment for the subscription of the Application <b>%s</b>";"Uygulama <b>%s</b>abonelik için son ödeme bulamadık "
"Website:";"Web sitesi:"
"Welcome on our Platform %s";"Platform %hoş geldiniz bizim s"
"White";"Beyaz"
"Xcode 9.2";"9.2 boru "
"Yes, Delete!";"Evet, Sil!"
"Yes, Proceed to update!";"Evet, güncelleme ile Devam edin!"
"You are about to cancel this subscription, the payments will be stopped, and the application will be disabled!<br />You can enter a customer message below to inform the Application owner!<br /><br />";"Bu aboneliği iptal etmek üzeresiniz, ödemeler durdurulacak ve uygulama<devre dışı bırakılacak.!<Başvuru sahibi bilgilendirmek için aşağıda müşteri bir mesaj girebilirsiniz br /> br /><br />"
"You are about to update to version %s, this version introduces breaking changes in the platform,";"Sürüm %s için güncelleme üzere, bu sürüm platform son değişiklikleri tanıtır,"
"You are going to love it!<br />Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"<Bayılacaksınız!etkili özelliklerimiz br />Teşekkürler, senin adına büyük mobil uygulamalar oluşturmak için, birkaç dakika içinde mümkün olacaktır."
"You are not allowed to access this page";"Bu sayfaya erişmek için izin verilmez "
"You are not allowed to cancel child subscriptions.";"Çocuk abonelikleri iptal etmek için izin verilmez."
"You are not allowed to cancel free subscriptions.";"Ücretsiz abonelikleri iptal etmek için izin verilmez."
"You are not allowed to cancel offline/paid subscriptions.";"Çevrimdışı/ücretli aboneliği iptal etmek için izin verilmez."
"You are not allowed to cancel online/paid subscriptions.";"Online/ücretli aboneliği iptal etmek için izin verilmez."
"You are not allowed to delete applications.";"Uygulamaları silmek için izin verilmez."
