"#bookmarked";"#yerimieklendi"
"Flagged";"İşaretlendi"
"From:";"den"
"Hi. I just found: $1 for $2 in the $3 app.";"Merhaba. Yeni buldum: $3 uygulamasında $2 için $1."
"Hide my address";"Adresimi gizle"
"Hide my phone";"Telefonumu gizle"
"High to Low";"Yüksekten alçağa"
"If address is hidden, your ad will not be visible on public map";"Adres gizliyse herkese açık haritada reklamınız görünmez"
"Import from Library";"Kütüphaneden içe aktar"
"Limit ads to this country only";"Reklamları yalnızca bu ülkeye sınırla."
"List";"Liste"
"Low to High";"Düşükten yükseğe"
"Manage ads";"Reklamları yönet"
"Map";"Harita"
"Mark ad as sold";"Reklamı satıldı olarak işaretle."
"Max price:";"Maksimum fiyat"
"Message sent";"Mesaj gönderildi"
"Message:";"Mesaj:"
"Min price:";"En düşük fiyat"
"Moderate Ads";"Reklamları azalt"
"My shop";"Mağazam"
"New ad";"Yeni reklam"
"Newest first";"İlk önce en yeni"
"No items found";"Öğe bulunamadı."
"OK";"Tamam"
"Oldest first";"İlk önce en eski"
"Only 3 pictures are allowed";"Yalnızca üç resim kabul edilir."
"Order by:";"Sipariş"
"Pending";"Bekliyor"
"Phone";"Telefon"
"Phone is mandatory";"Telefon zorunlu"
"Phone:";"Telefon"
"Please choose";"Lütfen seçin"
"Price";"Fiyat"
"Price is mandatory";"Fiyat zorunlu"
"Price is required ?";"Fiyat gerekli mi?"
"Price:";"Fiyat"
"Publish";"Yayınla"
"Published";"Yayınlandı"
"Radius";"Yarıçap"
"Remove picture";"Resmi kaldır"
"Reset flags";"İşaretleri sıfırla"
"Save";"Kaydet"
"Saved!";"Kaydedildi"
"Search";"Ara"
"Send";"Gönder"
"Send an email";"E-posta gönder"
"Sent!";"Gönderildi!"
"Settings";"Ayarlar"
"Shop ID";"Mağaza kimliği"
"Show bookmarked ads only";"Yalnızca yer imi olan reklamları göster"
"Show only ads including:";"Yalnızca aşağıdakileri içeren reklamları göster:"
"Sold";"Satıldı"
"Some errors prevent this ad to be saved:";"Bazı hatalar kaydetmeyi engelliyor"
"Some errors prevents your message to be sent:";"Bazı hatalar mesajınızın gönderilmesini engeller:"
"Status";"Durum"
"Status changed successfully";"Durum başarıyla değiştirildi"
"Status is not authorized";"Durum doğrulanmadı"
"Status:";"Durum"
"Success";"Başarılı"
"Successfully flagged as inappropriate!";"Uygunsuz olarak işaretlendi!"
"Take a picture";"Resim seç"
"Title";"Başlık"
"Title is mandatory";"Başlık zorunludur"
"Unbookmark ad";"Reklam yer imini kaldır"
"Uncancel ad";"reklamı iptal etme"
"Unknown customer";"Bilinmeyen müşteri"
"Unknown error";"Bilinmeyen hata"
"Unmark ad as sold";"Satıldı olarak işaretleme"
"View details";"Detayları göster"
"Your ad has been flagged";"Reklamınız işaretlendi"
"Your email";"E-postanız"
"Your message";"Mesajınız"
"Your message has been sent successfully!";"Mesajınız başarıyla gönderildi!"
"Your name";"adınız"
"Zip Code:";"Posta kodu"
"address";"adres"
"and";"ve"
"category: %s";"kategori:%s"
"email should be valid";"E-posta geçerli olmalı"
"max: %s";"max: %s"
"message should be present and 50 characters long at least";"mesaj 50 karakter uzunluğunda olmalı"
"min: %s";"min: %s"
"name should be present";"İsim olmalı"
"order: %s";"sipariş: %s"
"phone";"telefon"
"pictures";"resimler"
"with: %s";": %s"
"zip: %s";"posta: %s"
