"mbprecise_AM / PM format";"mbprecise_saat formatı"
"mbprecise_number";"mbprecise_rakam"
"mbprecise_range";"mbprecise_sıralama"
"mbprecise_remove";"mbprecise_Kaldır"
"mbprecise_selectlist";"mbprecise_listeseç"
"mbprecise_separatorhtml";"mbprecise_ayırıcıhtml"
"mbprecise_show";"mbprecise_göster"
"mbprecise_text";"mbprecise_metin"
"mbprecise_this id is al-ready used by some other field";"mbprecise_bu kimlik başka alanlar için kullanılıyor"
"mbprecise_time";"mbprecise_zaman"
"mbprecise_toggle";"mbprecise_açma-kapama butonu"
